Name,Date,notes,Value,Change
XKF,2015-10-20,notes,211.35,DECREASED
KZW,2015-10-15,notes,363.27,DECREASED
LTH,2015-8-3,notes,28.2,DECREASED
GUC,2015-7-16,notes,90.31,DECREASED
FZS,2015-9-14,notes,Missing,UNKNOWN
TFQ,2015-9-17,notes,617.0,DECREASED
LII,2015-10-4,notes,907.32,INCREASED
HSK,2015-10-18,notes,446.30,INCREASED
IUQ,2015-9-8,notes,403.37,INCREASED
NSJ,2015-9-18,notes,532.23,DECREASED
NSJ,2015-10-7,notes,663.93,INCREASED
XKF,2015-7-14,notes,230.60,DECREASED
KXO,2015-9-15,notes,667.60,INCREASED
ETP,2015-7-3,notes,895.26,DECREASED
QFX,2015-11-17,notes,207.93,DECREASED
OBR,2015-7-10,notes,523.76,INCREASED
LTH,2015-9-20,notes,892.53,DECREASED
ZKG,2015-9-11,notes,65.79,DECREASED
YLB,2015-7-14,notes,803.53,INCREASED
FGF,2015-8-6,notes,Not present,UNKNOWN
LTH,2015-11-10,notes,456.5,DECREASED
ELM,2015-10-10,notes,553.87,INCREASED
TSM,2015-9-2,notes,23.7,DECREASED
WHL,2015-8-18,notes,147.20,DECREASED
DWM,2015-10-1,notes,862.74,INCREASED
ULI,2015-9-4,notes,316.8,INCREASED
TZA,2015-7-12,notes,581.17,INCREASED
TZA,2015-8-19,notes,197.28,DECREASED
ZPZ,2015-11-5,notes,70.3,DECREASED
ARA,2015-10-11,notes,357.50,DECREASED
OEI,2015-7-15,notes,201.75,DECREASED
DWM,2015-10-5,notes,353.0,DECREASED
ZGV,2015-8-20,notes,603.95,INCREASED
NIS,2015-10-5,notes,966.87,INCREASED
NRA,2015-11-12,notes,890.32,INCREASED
YRW,2015-9-6,notes,355.94,DECREASED
ZVQ,2015-9-19,notes,387.66,DECREASED
WHJ,2015-9-7,notes,951.52,INCREASED
LVR,2015-11-20,notes,267.47,DECREASED
SBH,2015-8-1,notes,326.80,DECREASED
TIO,2015-9-9,notes,983.84,INCREASED
TZA,2015-9-2,notes,661.2,INCREASED
IQZ,2015-8-20,notes,249.0,DECREASED
VFK,2015-7-16,notes,317.81,DECREASED
EUS,2015-9-4,notes,232.16,DECREASED
SGT,2015-11-13,notes,815.61,INCREASED
AJZ,2015-8-16,notes,300.59,INCREASED
ZPZ,2015-11-12,notes,288.16,INCREASED
OPZ,2015-7-12,notes,996.2,INCREASED
ARA,2015-9-9,notes,890.45,INCREASED
JDF,2015-10-20,notes,Not applicable,UNKNOWN
VVX,2015-8-17,notes,456.51,DECREASED
FKS,2015-7-5,notes,671.31,INCREASED
PFF,2015-10-20,notes,366.29,DECREASED
WHJ,2015-9-12,notes,-----,UNKNOWN
RCC,2015-7-10,notes,518.50,INCREASED
ZVQ,2015-7-9,notes,160.96,DECREASED
KXO,2015-8-5,notes,832.20,INCREASED
IUQ,2015-11-3,notes,601.0,DECREASED
LDT,2015-8-6,notes,680.43,INCREASED
OPZ,2015-8-17,notes,423.84,INCREASED
TZA,2015-10-20,notes,980.74,INCREASED
PEX,2015-7-14,notes,707.0,INCREASED
YRW,2015-11-4,notes,466.75,INCREASED
JXG,2015-11-10,notes,713.73,INCREASED
ISF,2015-9-4,notes,-----,UNKNOWN
XBO,2015-7-7,notes,...,UNKNOWN
ZPZ,2015-8-14,notes,46.39,DECREASED
IUQ,2015-11-10,notes,121.7,DECREASED
KCT,2015-8-5,notes,261.90,DECREASED
IMN,2015-8-16,notes,990.9,INCREASED
KTX,2015-11-8,notes,171.26,DECREASED
VFK,2015-10-8,notes,76.55,DECREASED
RNP,2015-8-10,notes,30.94,DECREASED
ULI,2015-7-9,notes,956.50,INCREASED
LVR,2015-8-16,notes,561.80,DECREASED
DMD,2015-9-5,notes,268.14,DECREASED
NSJ,2015-11-10,notes,898.87,INCREASED
ARA,2015-10-12,notes,...,UNKNOWN
TSM,2015-11-20,notes,946.88,INCREASED
OPZ,2015-9-13,notes,149.96,INCREASED
FZV,2015-7-17,notes,371.0,DECREASED
ZVQ,2015-11-8,notes,710.5,INCREASED
JNL,2015-10-11,notes,875.80,INCREASED
QFX,2015-8-17,notes,206.24,DECREASED
ELM,2015-8-15,notes,948.56,DECREASED
FFJ,2015-10-16,notes,738.20,INCREASED
RTN,2015-7-7,notes,192.74,INCREASED
VFK,2015-9-12,notes,678.54,DECREASED
ORX,2015-9-17,notes,939.0,INCREASED
JDF,2015-8-19,notes,unknown,UNKNOWN
RNP,2015-8-7,notes,447.91,INCREASED
WGX,2015-9-13,notes,not there,UNKNOWN
QBU,2015-7-13,notes,675.26,INCREASED
DUO,2015-10-4,notes,306.53,DECREASED
MDH,2015-8-2,notes,832.5,DECREASED
PEX,2015-10-4,notes,562.28,DECREASED
IES,2015-8-4,notes,828.22,INCREASED
FZV,2015-11-12,notes,81.27,DECREASED
ZGV,2015-11-5,notes,211.23,INCREASED
DMD,2015-9-6,notes,920.8,INCREASED
UBH,2015-8-16,notes,95.74,INCREASED
DMD,2015-10-3,notes,881.12,INCREASED
DWM,2015-7-11,notes,131.70,INCREASED
JXG,2015-10-7,notes,179.94,INCREASED
QNH,2015-7-2,notes,283.67,INCREASED
COF,2015-11-12,notes,418.34,DECREASED
QFX,2015-10-13,notes,113.81,DECREASED
BWS,2015-10-2,notes,558.65,INCREASED
OQB,2015-11-1,notes,922.45,INCREASED
KXO,2015-10-5,notes,762.71,INCREASED
LVR,2015-10-7,notes,1.51,DECREASED
ELM,2015-8-14,notes,Lost,UNKNOWN
WHJ,2015-9-2,notes,358.3,INCREASED
OQB,2015-8-11,notes,284.37,DECREASED
XBO,2015-8-4,notes,928.52,INCREASED
IUQ,2015-10-20,notes,355.25,DECREASED
KJJ,2015-7-12,notes,402.65,DECREASED
LDT,2015-11-2,notes,347.37,DECREASED
DWM,2015-8-10,notes,109.54,DECREASED
LII,2015-8-19,notes,875.15,DECREASED
IQZ,2015-9-16,notes,299.27,DECREASED
WHL,2015-10-3,notes,600.59,INCREASED
JXG,2015-8-4,notes,772.37,INCREASED
DLV,2015-9-5,notes,127.79,DECREASED
PFF,2015-10-11,notes,554.91,INCREASED
AJZ,2015-11-17,notes,667.13,INCREASED
DNX,2015-11-12,notes,678.57,INCREASED
IXX,2015-8-2,notes,477.36,INCREASED
FZS,2015-11-15,notes,566.3,DECREASED
PEX,2015-9-2,notes,393.28,DECREASED
JDF,2015-11-4,notes,299.43,DECREASED
NIS,2015-10-12,notes,593.96,DECREASED
VFK,2015-8-2,notes,667.35,INCREASED
LII,2015-10-12,notes,Invalid,UNKNOWN
KZW,2015-7-5,notes,161.84,DECREASED
QBU,2015-7-12,notes,-----,UNKNOWN
DMD,2015-10-5,notes,324.0,DECREASED
IES,2015-7-20,notes,951.31,INCREASED
COF,2015-10-19,notes,105.96,DECREASED
YLB,2015-7-11,notes,503.41,DECREASED
DUO,2015-9-2,notes,748.86,INCREASED
ULI,2015-10-14,notes,453.36,DECREASED
WGX,2015-10-4,notes,N/A,UNKNOWN
PFT,2015-10-4,notes,383.96,DECREASED
PUA,2015-7-20,notes,456.43,DECREASED
DKM,2015-11-7,notes,347.15,DECREASED
NSJ,2015-9-19,notes,633.16,INCREASED
ABU,2015-7-16,notes,717.13,INCREASED
KJJ,2015-8-14,notes,167.37,DECREASED
WHL,2015-10-12,notes,454.4,DECREASED
GUC,2015-10-7,notes,599.8,INCREASED
IQZ,2015-11-14,notes,857.10,INCREASED
FZS,2015-11-6,notes,843.26,INCREASED
JNL,2015-11-16,notes,941.12,INCREASED
XKF,2015-9-1,notes,932.52,INCREASED
PGC,2015-8-2,notes,Invalid,UNKNOWN
WHJ,2015-11-1,notes,185.22,DECREASED
WYO,2015-10-11,notes,894.45,INCREASED
KJJ,2015-7-1,notes,103.44,NEW
FZN,2015-7-10,notes,868.14,DECREASED
DEE,2015-10-6,notes,941.42,INCREASED
FZN,2015-8-4,notes,947.84,INCREASED
DEE,2015-11-17,notes,689.30,INCREASED
DUO,2015-7-13,notes,65.15,DECREASED
NSJ,2015-7-5,notes,36.2,DECREASED
IES,2015-7-7,notes,628.94,DECREASED
YPF,2015-10-5,notes,542.45,INCREASED
ORX,2015-11-17,notes,250.61,INCREASED
WGX,2015-7-4,notes,729.82,DECREASED
LTH,2015-10-17,notes,800.54,INCREASED
YLB,2015-11-1,notes,73.70,DECREASED
VFK,2015-8-11,notes,733.12,INCREASED
DUO,2015-8-17,notes,100.41,DECREASED
XKF,2015-7-13,notes,Lost,UNKNOWN
GRH,2015-11-13,notes,762.61,DECREASED
DKM,2015-9-3,notes,137.30,DECREASED
XOT,2015-11-15,notes,553.45,INCREASED
EUS,2015-7-18,notes,687.49,INCREASED
ISF,2015-8-18,notes,123.14,DECREASED
EUS,2015-8-14,notes,Not applicable,UNKNOWN
RTN,2015-8-9,notes,695.6,INCREASED
WYO,2015-7-5,notes,575.3,INCREASED
ETP,2015-10-9,notes,363.69,INCREASED
FZN,2015-11-5,notes,899.85,INCREASED
WGX,2015-9-12,notes,978.62,INCREASED
GRH,2015-7-3,notes,497.66,INCREASED
DMD,2015-7-17,notes,75.45,DECREASED
OPZ,2015-8-19,notes,155.3,DECREASED
NIS,2015-8-11,notes,937.87,INCREASED
YRW,2015-9-17,notes,268.59,DECREASED
RTN,2015-9-1,notes,835.93,INCREASED
MDH,2015-9-16,notes,398.50,INCREASED
BWS,2015-10-14,notes,Invalid,UNKNOWN
YRW,2015-8-13,notes,484.43,DECREASED
LVR,2015-9-9,notes,350.43,DECREASED
JNL,2015-10-7,notes,378.34,DECREASED
GRH,2015-7-18,notes,670.31,DECREASED
BWS,2015-11-8,notes,1.3,DECREASED
LLV,2015-9-3,notes,51.98,DECREASED
TZA,2015-8-8,notes,303.93,DECREASED
TSM,2015-7-19,notes,273.40,INCREASED
NRA,2015-10-11,notes,529.62,DECREASED
INO,2015-9-18,notes,771.33,INCREASED
OQB,2015-10-19,notes,211.72,DECREASED
SBH,2015-10-13,notes,343.22,INCREASED
WGX,2015-11-8,notes,--------,UNKNOWN
NRA,2015-10-17,notes,27.82,DECREASED
FGF,2015-9-1,notes,660.57,INCREASED
WHL,2015-11-20,notes,45.74,DECREASED
XZZ,2015-10-20,notes,249.3,DECREASED
TSM,2015-9-20,notes,331.9,DECREASED
IUQ,2015-7-10,notes,542.9,INCREASED
NRA,2015-11-4,notes,150.67,DECREASED
SBH,2015-8-10,notes,53.3,DECREASED
INO,2015-8-2,notes,480.51,INCREASED
NRA,2015-8-16,notes,Not found,UNKNOWN
KTX,2015-10-19,notes,793.93,INCREASED
ZGV,2015-8-7,notes,-,UNKNOWN
RCC,2015-7-4,notes,122.68,DECREASED
UBH,2015-9-19,notes,351.72,DECREASED
DMD,2015-9-4,notes,734.12,INCREASED
FZS,2015-8-13,notes,702.36,INCREASED
INY,2015-9-12,notes,856.36,INCREASED
WYO,2015-11-10,notes,116.77,DECREASED
DWM,2015-9-20,notes,346.40,DECREASED
FKS,2015-8-7,notes,914.78,INCREASED
NSJ,2015-8-4,notes,350.15,DECREASED
ORX,2015-8-11,notes,363.99,DECREASED
NRA,2015-8-1,notes,164.18,INCREASED
DWM,2015-9-13,notes,590.18,DECREASED
IFM,2015-10-16,notes,685.37,INCREASED
DEE,2015-10-13,notes,302.90,INCREASED
ORX,2015-10-7,notes,871.50,INCREASED
YRW,2015-9-4,notes,673.3,DECREASED
RCC,2015-9-5,notes,162.64,DECREASED
RNP,2015-11-15,notes,117.41,DECREASED
OBR,2015-11-16,notes,253.43,INCREASED
QFX,2015-8-4,notes,94.18,DECREASED
FFJ,2015-8-12,notes,-----,UNKNOWN
LVR,2015-10-2,notes,222.89,INCREASED
PFF,2015-10-13,notes,923.17,INCREASED
XQN,2015-8-13,notes,959.13,INCREASED
LTH,2015-8-14,notes,677.56,INCREASED
DLV,2015-11-19,notes,823.25,INCREASED
ZKG,2015-10-14,notes,820.86,DECREASED
FZS,2015-11-13,notes,367.83,INCREASED
TZA,2015-11-12,notes,28.90,DECREASED
INO,2015-8-12,notes,985.77,INCREASED
INY,2015-8-7,notes,219.43,DECREASED
RCC,2015-10-13,notes,848.71,INCREASED
PGC,2015-8-6,notes,164.82,DECREASED
COF,2015-11-17,notes,873.22,DECREASED
DLV,2015-7-10,notes,80.51,INCREASED
DJY,2015-10-11,notes,633.4,INCREASED
NRA,2015-11-15,notes,750.40,INCREASED
BWS,2015-8-9,notes,392.2,DECREASED
SBH,2015-10-17,notes,408.79,DECREASED
ZKG,2015-11-16,notes,848.79,INCREASED
EUS,2015-10-16,notes,339.40,INCREASED
JFG,2015-10-9,notes,358.47,DECREASED
FZN,2015-9-14,notes,96.74,DECREASED
FFJ,2015-7-18,notes,235.40,DECREASED
YLB,2015-8-20,notes,250.9,INCREASED
RNP,2015-11-1,notes,151.88,DECREASED
SGT,2015-9-20,notes,65.60,DECREASED
XQN,2015-10-14,notes,935.16,INCREASED
XQN,2015-7-19,notes,694.66,DECREASED
LII,2015-11-12,notes,535.85,INCREASED
IFM,2015-7-6,notes,630.6,INCREASED
BBL,2015-11-8,notes,410.16,INCREASED
LLV,2015-10-12,notes,558.13,INCREASED
XOT,2015-8-3,notes,253.65,DECREASED
VVX,2015-8-19,notes,91.46,DECREASED
KXO,2015-9-16,notes,543.46,DECREASED
ORX,2015-10-8,notes,--------,UNKNOWN
SBH,2015-10-19,notes,545.2,INCREASED
OPZ,2015-9-7,notes,431.16,DECREASED
VVX,2015-9-16,notes,136.21,INCREASED
NSJ,2015-9-4,notes,865.93,INCREASED
XKF,2015-7-15,notes,476.80,INCREASED
PFT,2015-9-11,notes,750.70,DECREASED
KCT,2015-7-12,notes,993.18,INCREASED
BWS,2015-8-17,notes,126.11,DECREASED
SIF,2015-7-4,notes,Not present,UNKNOWN
WGX,2015-8-1,notes,607.69,INCREASED
XQN,2015-8-6,notes,892.34,INCREASED
XOT,2015-11-2,notes,593.81,INCREASED
LLV,2015-9-17,notes,530.1,DECREASED
UBH,2015-7-10,notes,113.83,DECREASED
IXX,2015-7-7,notes,89.10,DECREASED
ZPZ,2015-11-13,notes,169.6,DECREASED
DKM,2015-7-17,notes,217.80,DECREASED
ARA,2015-8-1,notes,667.48,INCREASED
IFM,2015-8-13,notes,743.43,INCREASED
YPF,2015-11-1,notes,778.43,DECREASED
DNL,2015-7-8,notes,292.89,DECREASED
YPF,2015-7-2,notes,875.93,INCREASED
PFF,2015-11-19,notes,150.96,DECREASED
MDH,2015-8-1,notes,838.21,DECREASED
JXG,2015-9-16,notes,868.26,INCREASED
MDH,2015-9-9,notes,376.25,DECREASED
BWS,2015-11-6,notes,366.57,DECREASED
WYO,2015-11-4,notes,72.45,DECREASED
WHL,2015-10-9,notes,588.11,INCREASED
LVR,2015-11-6,notes,209.59,DECREASED
FZV,2015-10-7,notes,99.37,DECREASED
FKS,2015-9-9,notes,11.29,DECREASED
BBL,2015-11-7,notes,318.42,DECREASED
EUS,2015-10-1,notes,952.59,INCREASED
QLS,2015-8-18,notes,590.58,INCREASED
ULI,2015-8-2,notes,285.0,DECREASED
LLV,2015-8-10,notes,20.90,DECREASED
FGF,2015-8-8,notes,7.35,DECREASED
PEX,2015-7-3,notes,65.96,DECREASED
MDH,2015-7-2,notes,58.1,DECREASED
JDF,2015-9-8,notes,39.63,DECREASED
SGT,2015-9-7,notes,Invalid,UNKNOWN
QBU,2015-11-2,notes,677.72,DECREASED
KJJ,2015-7-17,notes,646.53,INCREASED
LVR,2015-7-9,notes,Not applicable,UNKNOWN
LTH,2015-7-1,notes,612.23,NEW
DUO,2015-7-3,notes,-,UNKNOWN
WHL,2015-11-3,notes,605.82,DECREASED
IXX,2015-10-4,notes,486.62,INCREASED
ELM,2015-7-10,notes,762.73,INCREASED
TSM,2015-8-9,notes,388.34,INCREASED
PEX,2015-7-1,notes,Missing,UNKNOWN
JXG,2015-7-11,notes,483.94,INCREASED
QLS,2015-10-12,notes,246.30,DECREASED
PUA,2015-11-11,notes,975.54,INCREASED
DWM,2015-7-7,notes,864.99,INCREASED
ISF,2015-7-2,notes,606.98,DECREASED
LII,2015-7-1,notes,10.19,NEW
KJJ,2015-10-12,notes,521.40,INCREASED
NSJ,2015-11-11,notes,N/A,UNKNOWN
DMD,2015-10-1,notes,450.66,DECREASED
FFJ,2015-9-6,notes,Not present,UNKNOWN
FZN,2015-11-17,notes,18.49,DECREASED
QBU,2015-8-19,notes,14.26,DECREASED
DWM,2015-7-10,notes,126.8,DECREASED
YPF,2015-11-5,notes,302.0,DECREASED
DWM,2015-7-17,notes,377.15,INCREASED
FGF,2015-8-16,notes,350.95,DECREASED
XKF,2015-8-13,notes,903.85,INCREASED
NRA,2015-10-1,notes,986.25,INCREASED
EUS,2015-7-9,notes,278.59,DECREASED
FZN,2015-8-14,notes,595.48,DECREASED
IXX,2015-11-19,notes,600.84,INCREASED
IFM,2015-7-2,notes,29.59,DECREASED
DUO,2015-8-12,notes,382.10,DECREASED
DLV,2015-8-6,notes,--------,UNKNOWN
FGF,2015-11-2,notes,998.27,INCREASED
PGC,2015-9-4,notes,79.97,DECREASED
DUO,2015-11-3,notes,645.13,INCREASED
TZA,2015-7-5,notes,105.76,DECREASED
DWM,2015-11-3,notes,91.66,INCREASED
YLB,2015-10-7,notes,not there,UNKNOWN
KZW,2015-8-6,notes,447.65,DECREASED
RTN,2015-10-20,notes,not there,UNKNOWN
LTH,2015-7-20,notes,51.82,DECREASED
QLS,2015-11-5,notes,340.3,INCREASED
GRH,2015-11-1,notes,899.56,INCREASED
BBL,2015-9-5,notes,913.40,INCREASED
VVX,2015-10-17,notes,377.43,INCREASED
PFF,2015-10-17,notes,979.38,INCREASED
FZS,2015-9-5,notes,840.11,INCREASED
PGC,2015-8-20,notes,154.60,DECREASED
MQZ,2015-8-15,notes,631.17,INCREASED
FZS,2015-8-7,notes,328.48,DECREASED
PUA,2015-7-2,notes,43.74,DECREASED
OBR,2015-7-7,notes,83.80,DECREASED
LII,2015-7-12,notes,301.91,INCREASED
ISF,2015-9-18,notes,679.95,DECREASED
KXO,2015-9-3,notes,935.4,INCREASED
TSM,2015-11-9,notes,158.65,DECREASED
YRW,2015-7-8,notes,474.70,INCREASED
LDT,2015-11-13,notes,701.29,DECREASED
PFT,2015-9-15,notes,241.76,DECREASED
DJY,2015-8-16,notes,617.19,INCREASED
FZV,2015-10-2,notes,273.14,INCREASED
JNL,2015-10-5,notes,709.88,INCREASED
YLB,2015-10-16,notes,473.1,DECREASED
JNL,2015-7-17,notes,808.23,INCREASED
KCT,2015-8-11,notes,891.36,DECREASED
TSM,2015-9-12,notes,266.64,INCREASED
LDT,2015-7-9,notes,61.26,DECREASED
KXO,2015-8-7,notes,514.60,DECREASED
FKS,2015-9-5,notes,4.97,DECREASED
DNL,2015-7-17,notes,51.28,DECREASED
VVX,2015-9-1,notes,852.70,INCREASED
HSK,2015-10-9,notes,843.20,DECREASED
DEE,2015-11-20,notes,894.44,INCREASED
ZKG,2015-7-17,notes,11.67,DECREASED
IQZ,2015-10-14,notes,868.86,INCREASED
KTX,2015-11-4,notes,327.29,DECREASED
KTX,2015-8-20,notes,27.2,DECREASED
QFX,2015-11-9,notes,576.90,DECREASED
XZZ,2015-11-10,notes,UNKOWN,UNKNOWN
PFT,2015-8-20,notes,43.99,DECREASED
NSJ,2015-9-9,notes,631.44,INCREASED
PUA,2015-9-18,notes,48.85,DECREASED
KJJ,2015-9-9,notes,Not found,UNKNOWN
DUO,2015-9-15,notes,644.72,INCREASED
IQZ,2015-10-6,notes,--,UNKNOWN
OQB,2015-11-18,notes,525.46,INCREASED
UBH,2015-7-8,notes,450.61,INCREASED
QNH,2015-11-6,notes,877.87,INCREASED
DLV,2015-9-7,notes,715.27,INCREASED
JDF,2015-7-15,notes,Lost,UNKNOWN
GUC,2015-11-12,notes,999.48,INCREASED
OQB,2015-9-16,notes,not there,UNKNOWN
QLS,2015-9-17,notes,864.28,INCREASED
DLV,2015-9-6,notes,579.30,INCREASED
WGX,2015-11-9,notes,98.1,DECREASED
DLV,2015-8-12,notes,114.80,INCREASED
QFX,2015-10-2,notes,702.92,DECREASED
PEX,2015-8-5,notes,174.4,DECREASED
BBL,2015-7-17,notes,573.15,DECREASED
JDF,2015-7-7,notes,174.40,DECREASED
OPZ,2015-9-5,notes,328.76,INCREASED
OQB,2015-8-2,notes,5.63,DECREASED
NIS,2015-11-6,notes,188.77,DECREASED
HSK,2015-11-4,notes,831.33,INCREASED
QFX,2015-10-20,notes,605.63,INCREASED
LVR,2015-10-5,notes,346.64,INCREASED
ARA,2015-8-3,notes,741.36,DECREASED
RCC,2015-7-15,notes,80.15,DECREASED
OPZ,2015-11-15,notes,588.73,DECREASED
KZW,2015-8-15,notes,679.50,INCREASED
ZPZ,2015-7-11,notes,780.46,DECREASED
BWS,2015-9-8,notes,466.44,DECREASED
TIO,2015-10-3,notes,374.3,DECREASED
PFT,2015-9-1,notes,754.19,INCREASED
JNL,2015-8-4,notes,978.55,INCREASED
LDT,2015-8-14,notes,772.51,INCREASED
KTX,2015-9-18,notes,313.22,DECREASED
IES,2015-10-4,notes,887.0,INCREASED
COF,2015-10-18,notes,681.8,INCREASED
RHS,2015-8-16,notes,477.25,INCREASED
SIF,2015-9-7,notes,425.76,DECREASED
IMN,2015-10-18,notes,706.11,INCREASED
FZV,2015-8-9,notes,...,UNKNOWN
AJZ,2015-7-18,notes,749.93,INCREASED
INY,2015-8-13,notes,766.44,INCREASED
ZVQ,2015-7-11,notes,Lost,UNKNOWN
QNH,2015-9-6,notes,629.83,INCREASED
LLV,2015-8-11,notes,662.61,INCREASED
YPF,2015-8-15,notes,509.43,DECREASED
PFF,2015-10-14,notes,535.34,DECREASED
LTH,2015-9-7,notes,--------,UNKNOWN
LVR,2015-7-15,notes,757.21,DECREASED
VFK,2015-8-16,notes,256.37,DECREASED
QFX,2015-7-3,notes,784.35,INCREASED
KTX,2015-7-8,notes,981.89,INCREASED
ZKG,2015-11-19,notes,851.41,DECREASED
VVX,2015-10-20,notes,871.73,DECREASED
GRH,2015-9-9,notes,796.40,INCREASED
IES,2015-10-8,notes,324.19,INCREASED
UBH,2015-9-7,notes,313.59,INCREASED
INO,2015-8-1,notes,57.36,DECREASED
YRW,2015-11-11,notes,625.42,INCREASED
ZGV,2015-8-12,notes,733.16,DECREASED
TFQ,2015-8-18,notes,854.60,INCREASED
KTX,2015-8-7,notes,122.59,DECREASED
XBO,2015-9-14,notes,417.70,INCREASED
LII,2015-11-14,notes,486.67,DECREASED
LII,2015-9-16,notes,712.80,INCREASED
AJZ,2015-10-20,notes,56.63,DECREASED
DEE,2015-10-9,notes,108.48,DECREASED
PFF,2015-7-19,notes,687.18,DECREASED
INY,2015-7-12,notes,462.13,INCREASED
ABU,2015-8-12,notes,676.40,INCREASED
WHJ,2015-7-19,notes,542.50,INCREASED
PFT,2015-11-12,notes,375.12,DECREASED
IES,2015-11-1,notes,160.94,DECREASED
IXX,2015-8-3,notes,830.78,INCREASED
YLB,2015-11-14,notes,-,UNKNOWN
DNL,2015-10-14,notes,Not applicable,UNKNOWN
OPZ,2015-8-18,notes,652.88,INCREASED
NSJ,2015-8-18,notes,118.77,INCREASED
DLV,2015-11-8,notes,Not applicable,UNKNOWN
KCT,2015-10-1,notes,590.83,INCREASED
XOT,2015-7-5,notes,775.70,INCREASED
DMD,2015-10-16,notes,982.53,INCREASED
COF,2015-8-19,notes,127.85,INCREASED
RTN,2015-8-10,notes,162.77,DECREASED
KCT,2015-7-6,notes,not there,UNKNOWN
COF,2015-7-5,notes,885.64,INCREASED
FZS,2015-9-2,notes,unknown,UNKNOWN
WYO,2015-7-13,notes,40.50,DECREASED
MQZ,2015-8-18,notes,166.76,DECREASED
NRA,2015-7-13,notes,481.97,INCREASED
TSM,2015-11-14,notes,925.13,INCREASED
IUQ,2015-10-1,notes,525.53,DECREASED
KJJ,2015-7-10,notes,414.41,INCREASED
RNP,2015-9-1,notes,135.87,DECREASED
PUA,2015-7-17,notes,625.79,DECREASED
FKS,2015-11-17,notes,235.41,INCREASED
PFF,2015-7-17,notes,78.77,DECREASED
JDF,2015-9-12,notes,247.22,INCREASED
RTN,2015-9-12,notes,246.68,INCREASED
LLV,2015-7-7,notes,674.51,INCREASED
TFQ,2015-7-2,notes,100.94,DECREASED
OBR,2015-10-20,notes,427.26,DECREASED
BBL,2015-9-9,notes,112.8,DECREASED
JNL,2015-8-5,notes,550.84,DECREASED
COF,2015-7-7,notes,Not found,UNKNOWN
FZS,2015-11-5,notes,418.25,DECREASED
WYO,2015-11-14,notes,475.31,DECREASED
DNX,2015-11-19,notes,990.8,INCREASED
XZZ,2015-7-17,notes,860.92,INCREASED
EUS,2015-8-7,notes,N/A,UNKNOWN
OPZ,2015-9-6,notes,756.81,INCREASED
OEI,2015-9-8,notes,144.39,INCREASED
ARA,2015-8-14,notes,485.43,DECREASED
ZPZ,2015-8-13,notes,425.99,DECREASED
HSK,2015-8-16,notes,991.69,INCREASED
IUQ,2015-9-17,notes,563.69,DECREASED
SIF,2015-9-18,notes,979.48,INCREASED
XKF,2015-7-7,notes,225.73,DECREASED
LII,2015-8-13,notes,Not found,UNKNOWN
VFK,2015-10-16,notes,637.47,DECREASED
UBH,2015-8-6,notes,591.52,DECREASED
RHS,2015-10-12,notes,962.66,INCREASED
VVX,2015-9-8,notes,649.18,INCREASED
IES,2015-11-6,notes,214.13,DECREASED
SGT,2015-11-18,notes,742.5,INCREASED
XZZ,2015-10-15,notes,334.99,DECREASED
WHJ,2015-10-20,notes,895.36,INCREASED
SGT,2015-11-8,notes,306.37,DECREASED
IMN,2015-9-9,notes,-----,UNKNOWN
FGF,2015-9-16,notes,502.6,DECREASED
TZA,2015-10-12,notes,-----,UNKNOWN
IFM,2015-7-8,notes,217.50,DECREASED
JXG,2015-11-1,notes,unknown,UNKNOWN
RTN,2015-11-19,notes,974.11,INCREASED
LTH,2015-11-3,notes,N/A,UNKNOWN
PUA,2015-7-14,notes,870.29,INCREASED
INY,2015-7-14,notes,Not present,UNKNOWN
MQZ,2015-10-4,notes,260.14,DECREASED
AJZ,2015-7-7,notes,424.68,DECREASED
KXO,2015-10-10,notes,281.38,DECREASED
PEX,2015-9-19,notes,591.56,INCREASED
ETP,2015-11-2,notes,95.1,DECREASED
ZKG,2015-8-14,notes,557.17,DECREASED
TFQ,2015-9-9,notes,333.42,DECREASED
BBL,2015-9-13,notes,503.47,DECREASED
KZW,2015-10-2,notes,517.98,INCREASED
IES,2015-8-3,notes,795.67,INCREASED
LDT,2015-11-18,notes,71.90,DECREASED
RHS,2015-10-11,notes,402.29,INCREASED
ELM,2015-9-1,notes,603.27,INCREASED
DKM,2015-8-4,notes,372.46,DECREASED
KJJ,2015-11-2,notes,UNKOWN,UNKNOWN
IMN,2015-7-19,notes,301.94,DECREASED
FFJ,2015-8-7,notes,917.98,INCREASED
FZV,2015-9-2,notes,376.2,INCREASED
WGX,2015-7-11,notes,269.67,INCREASED
MDH,2015-7-18,notes,3.19,DECREASED
AJZ,2015-11-11,notes,332.84,DECREASED
RHS,2015-8-9,notes,383.52,DECREASED
KTX,2015-11-13,notes,969.78,INCREASED
IUQ,2015-8-7,notes,391.3,DECREASED
YRW,2015-10-15,notes,595.7,INCREASED
LLV,2015-7-13,notes,Not applicable,UNKNOWN
DJY,2015-8-8,notes,83.72,DECREASED
FKS,2015-10-6,notes,326.6,DECREASED
ABU,2015-7-1,notes,553.21,NEW
FFJ,2015-9-12,notes,563.54,DECREASED
FZS,2015-9-6,notes,519.51,DECREASED
ETP,2015-9-8,notes,212.62,DECREASED
NSJ,2015-9-10,notes,N/A,UNKNOWN
KZW,2015-9-3,notes,99.33,INCREASED
ELM,2015-10-14,notes,N/A,UNKNOWN
